,Title,Authors,Published,Link
0,A phantom study of a protective trolley for neonatal radiographic imaging: new equipment to protect the operator from scatter radiation,"Xinhong Wang, Mengxi Xu, Cong Chen, Zhongkun Bao, Hongzhu Wang, Jizhou Zhang, Zhen Wang, <a class=""link person"" href=""https://pureportal.coventry.ac.uk/en/persons/haipeng-liu"" rel=""Person""><span>Haipeng Liu</span></a>",2023-02-01,https://pureportal.coventry.ac.uk/en/publications/a-phantom-study-of-a-protective-trolley-for-neonatal-radiographic
1,A Serious Game for Patients With Eating Disorders (Maze Out): Pilot User Experience and Acceptance Study,"Maria Guala, <a class=""link person"" href=""https://pureportal.coventry.ac.uk/en/persons/kim-bul"" rel=""Person""><span>Kim Bul</span></a>, Finn Skårderud, Anette Søgaard Nielsen",2023-01-27,https://pureportal.coventry.ac.uk/en/publications/a-serious-game-for-patients-with-eating-disorders-maze-out-pilot-
2,Association of the COVID-19 pandemic on stroke admissions and treatment globally: a systematic review,"Rachel A Van Dusen, Kiera Abernethy, Nagendra Chaudhary, Vibhu Paudyal, <a class=""link person"" href=""https://pureportal.coventry.ac.uk/en/persons/om-kurmi"" rel=""Person""><span>Om Kurmi</span></a>",2023-03-17,https://pureportal.coventry.ac.uk/en/publications/association-of-the-covid-19-pandemic-on-stroke-admissions-and-tre
3,"Capability, Opportunity, and Motivation—Identifying Constructs for Increasing Physical Activity Behaviours in Women with Polycystic Ovary Syndrome (PCOS)","Chris Kite, Lou Atkinson, <a class=""link person"" href=""https://pureportal.coventry.ac.uk/en/persons/gordon-mcgregor"" rel=""Person""><span>Gordon McGregor</span></a>, <a class=""link person"" href=""https://pureportal.coventry.ac.uk/en/persons/cain-clark"" rel=""Person""><span>Cain C. T. Clark</span></a>, Harpal S. Randeva, <a class=""link person"" href=""https://pureportal.coventry.ac.uk/en/persons/ioannis-kyrou"" rel=""Person""><span>Ioannis Kyrou</span></a>",2023-01-28,https://pureportal.coventry.ac.uk/en/publications/capability-opportunity-and-motivationidentifying-constructs-for-i
4,Cerebral Hemodynamics Underlying Artery-to-Artery Embolism in Symptomatic Intracranial Atherosclerotic Disease,"Xueyan Feng, Hui Fang, Bonaventure Y M Ip, Ka Lung Chan, Shuang Li, Xuan Tian, Lina Zheng, Yuying Liu, Linfang Lan, <a class=""link person"" href=""https://pureportal.coventry.ac.uk/en/persons/haipeng-liu"" rel=""Person""><span>Haipeng Liu</span></a>, Jill Abrigo, Sze Ho Ma, Florence S Y Fan, Vincent H L Ip, Yannie O Y Soo, Vincent C T Mok, Bo Song, Thomas W Leung, Yuming Xu, Xinyi Leng",2023-03-10,https://pureportal.coventry.ac.uk/en/publications/cerebral-hemodynamics-underlying-artery-to-artery-embolism-in-sym
5,Congenic hematopoietic stem cell transplantation promotes survival of heart allografts in murine models of acute and chronic rejection,"<a class=""link person"" href=""https://pureportal.coventry.ac.uk/en/persons/hassan-sadozai"" rel=""Person""><span>Hassan Sadozai</span></a>, Vanessa Rojas-Luengas, Kaveh Farrokhi, Sajad Moshkelgosha, Qinli Guo, Wei He, Angela Li, Jianhua Zhang, Conan Chua, Dario Ferri, Muhtashim Mian, Oyedele Adeyi, Michael Seidman, Reginald M Gorczynski, Stephen Juvet, Harold Atkins, Gary A Levy, Andrzej Chruscinski",2023-04-02,https://pureportal.coventry.ac.uk/en/publications/congenic-hematopoietic-stem-cell-transplantation-promotes-surviva
6,"Contactless WiFi Sensing and Monitoring for Future Healthcare: Emerging Trends, Challenges and Opportunities","Yao Ge, Ahmad Taha, <a class=""link person"" href=""https://pureportal.coventry.ac.uk/en/persons/syed-aziz-shah"" rel=""Person""><span>S. A. Shah</span></a>, Kia Dashtipour, Shuyuan Zhu, Jonathan M. Cooper, Qammer Abbasi, Muhammad Imran",2023-01-01,https://pureportal.coventry.ac.uk/en/publications/contactless-wifi-sensing-and-monitoring-for-future-healthcare-eme
7,Deep learning identification of coronary artery disease from bilateral finger photoplethysmography sensing: A proof-of-concept study,"Sadaf Iqbal, Sharad Agarwal, Ian Purcell, Alan Murray, Jaume Bacardit, <a class=""link person"" href=""https://pureportal.coventry.ac.uk/en/persons/john-allen"" rel=""Person""><span>John Allen</span></a>",1 Sept 2023,https://pureportal.coventry.ac.uk/en/publications/deep-learning-identification-of-coronary-artery-disease-from-bila
8,Dietary Intake and Body Composition During Ramadan in Athletes: A Systematic Review and Meta-Analysis With Meta-Regression,"Khaled Trabelsi, Achraf Ammar, Omar Boukhris, Jordan M Glenn, <a class=""link person"" href=""https://pureportal.coventry.ac.uk/en/persons/cain-clark"" rel=""Person""><span>Cain C T Clark</span></a>, Stephen R Stannard, Gary Slater, Piotr Żmijewski, Tarak Driss, Helmi Ben Saad, Karim Chamari, Hamdi Chtourou",2023-01-01,https://pureportal.coventry.ac.uk/en/publications/dietary-intake-and-body-composition-during-ramadan-in-athletes-a-
9,Does folic acid supplementation affect body weight or body mass index? A systematic review and meta-analysis of randomized controlled trial,"Neda Haghighat, Behzad Nazarian, <a class=""link person"" href=""https://pureportal.coventry.ac.uk/en/persons/cain-clark"" rel=""Person""><span>Cain C T Clark</span></a>, Ladan Aghakhani",2023-07-01,https://pureportal.coventry.ac.uk/en/publications/does-folic-acid-supplementation-affect-body-weight-or-body-mass-i
10,Dual-Stream Contrastive Learning for Channel State Information Based Human Activity Recognition,"<a class=""link person"" href=""https://pureportal.coventry.ac.uk/en/persons/ke-xu"" rel=""Person""><span>Ke Xu</span></a>, <a class=""link person"" href=""https://pureportal.coventry.ac.uk/en/persons/jiangtao-wang"" rel=""Person""><span>Jiangtao Wang</span></a>, Le Zhang, Hongyuan Zhu, <a class=""link person"" href=""https://pureportal.coventry.ac.uk/en/persons/dingchang-zheng-2"" rel=""Person""><span>Dingchang Zheng</span></a>",2023-01-01,https://pureportal.coventry.ac.uk/en/publications/dual-stream-contrastive-learning-for-channel-state-information-ba
11,Early diagnosis of coronary microvascular dysfunction by myocardial contrast stress echocardiography,"Jucheng Zhang, Minwen Ma, Huajun Li, Zhaoxia Pu, <a class=""link person"" href=""https://pureportal.coventry.ac.uk/en/persons/haipeng-liu"" rel=""Person""><span>Haipeng Liu</span></a>, Tianhai Huang, Huan Cheng, Yinglan Gong, Yonghua Chu, Zhikang Wang, Jun Jiang, Ling Xia",2023-02-21,https://pureportal.coventry.ac.uk/en/publications/early-diagnosis-of-coronary-microvascular-dysfunction-by-myocardi
12,Effect of Filtering on Pulse Wave Transit Time Measured by Photoplethysmography,"Shangdi Liao, Fei Chen, <a class=""link person"" href=""https://pureportal.coventry.ac.uk/en/persons/haipeng-liu"" rel=""Person""><span>Haipeng Liu</span></a>, <a class=""link person"" href=""https://pureportal.coventry.ac.uk/en/persons/dingchang-zheng-2"" rel=""Person""><span>Dingchang Zheng</span></a>",2023-04-03,https://pureportal.coventry.ac.uk/en/publications/effect-of-filtering-on-pulse-wave-transit-time-measured-by-photop
13,"Effect of magnesium supplementation in improving hyperandrogenism, hirsutism, and sleep quality in women with polycystic ovary syndrome:  A randomized, placebo‐controlled clinical trial","Mahsa Gholizadeh‐Moghaddam, Hatav Ghasemi‐Tehrani, Gholamreza Askari, Mahsima Jaripur, <a class=""link person"" href=""https://pureportal.coventry.ac.uk/en/persons/cain-clark"" rel=""Person""><span>Cain C. T. Clark</span></a>, Mohammad Hossein Rouhani",2023-01-01,https://pureportal.coventry.ac.uk/en/publications/effect-of-magnesium-supplementation-in-improving-hyperandrogenism
14,Effects of school-based interventions on Food and Nutrition Literacy (FNLIT) in primary-school-age children: a systematic review,"Omidvar Nasrin, Azam Doustmohammadian, Shakibazadeh Elham, <a class=""link person"" href=""https://pureportal.coventry.ac.uk/en/persons/cain-clark"" rel=""Person""><span>Cain C T Clark</span></a>, Maryam Sadat Kasaii, Maryam Hajigholam Saryazdi",2023-06-28,https://pureportal.coventry.ac.uk/en/publications/effects-of-school-based-interventions-on-food-and-nutrition-liter
15,Efficacy assessment of superficial temporal artery-middle cerebral artery bypass surgery in treating moyamoya disease from a hemodynamic perspective: a pilot study using computational modeling and perfusion imaging,"Xinhong Wang, <a class=""link person"" href=""https://pureportal.coventry.ac.uk/en/persons/haipeng-liu"" rel=""Person""><span>Haipeng Liu</span></a>, Mengxi Xu, Cong Chen, Linlin Ma, Fangyu Dai",2023-03-01,https://pureportal.coventry.ac.uk/en/publications/efficacyassessment-of-superficial-temporal-artery-middle-cerebral
16,Enhancing System Performance through Objective Feature Scoring of Multiple Persons’ Breathing Using Non-Contact RF Approach,"Mubashir Rehman, Raza Ali Shah, Najah Abed Abu Ali, Muhammad Bilal Khan, <a class=""link person"" href=""https://pureportal.coventry.ac.uk/en/persons/syed-aziz-shah"" rel=""Person""><span>Syed Aziz Shah</span></a>, Akram Alomainy, Mohammad Hayajneh, Xiaodong Yang, Muhammad Ali Imran, Qammer H. Abbasi",2023-02-01,https://pureportal.coventry.ac.uk/en/publications/enhancing-system-performance-through-objective-feature-scoring-of
17,Entropy-based reliable non-invasive detection of coronary microvascular dysfunction using machine learning algorithm,"Xiaoye Zhao, Yinlan Gong, Lihua Xu, Ling Xia, Jucheng Zhang, <a class=""link person"" href=""https://pureportal.coventry.ac.uk/en/persons/dingchang-zheng-2"" rel=""Person""><span>Dingchang Zheng</span></a>, Zongbi Yao, Xinjie Zhang, Haicheng Wei, Jun Jiang, <a class=""link person"" href=""https://pureportal.coventry.ac.uk/en/persons/haipeng-liu"" rel=""Person""><span>Haipeng Liu</span></a>, Jiandong Mao",2023-06-05,https://pureportal.coventry.ac.uk/en/publications/entropy-based-reliable-non-invasive-detection-of-coronary-microva
18,Evaluating the effect of digital game‐based nutrition education on anemia indicators in adolescent girls: A randomized clinical trial,"Omid Sabet Ghadam, Zahra Sohrabi, Manoosh Mehrabi, Mohammad Fararouei, Mansour Shahraki, Najme Hejazi, <a class=""link person"" href=""https://pureportal.coventry.ac.uk/en/persons/cain-clark"" rel=""Person""><span>Cain C. T. Clark</span></a>, Sanaz Mehrabani, Shirin Gerami, Mehran Nouri",2023-02-01,https://pureportal.coventry.ac.uk/en/publications/evaluating-the-effect-of-digital-gamebased-nutrition-education-on
19,Exploring the extent of mental health practice: Content and cluster analysis of techniques used in HIV Testing and Counselling sessions in Uganda,"Faith Martin, Eleanor Clowes, Winifred Nalukenge, <a class=""link person"" href=""https://pureportal.coventry.ac.uk/en/persons/cain-clark"" rel=""Person""><span>Cain Clark</span></a>, Oucul Lazarus, Josephine Birungi, Janet Seeley",2023-02-01,https://pureportal.coventry.ac.uk/en/publications/exploring-the-extent-of-mental-health-practice-content-and-cluste
20,Female infertility caused by organophosphates: an insight into the latest biochemical and histomorphological findings,"Mohammad Samare-Najaf, Ali Samareh, Bahia Namavar Jahromi, Navid Jamali, Sina Vakili, Majid Mohsenizadeh, <a class=""link person"" href=""https://pureportal.coventry.ac.uk/en/persons/cain-clark"" rel=""Person""><span>Cain C. T. Clark</span></a>, Ali Abbasi, Nastaran Khajehyar",2023-01-02,https://pureportal.coventry.ac.uk/en/publications/female-infertility-caused-by-organophosphates-an-insight-into-the
21,"Folic acid supplementation and blood pressure: a GRADE-assessed systematic review and dose-response meta-analysis of 41,633 participants","Omid Asbaghi, Sara Salehpour, Mahnaz Rezaei Kelishadi, Reza Bagheri, Damoon Ashtary-Larky, Behzad Nazarian, Delsa Mombaini, Matin Ghanavati, <a class=""link person"" href=""https://pureportal.coventry.ac.uk/en/persons/cain-clark"" rel=""Person""><span>Cain C.T. Clark</span></a>, Alexei Wong, Amirmansour Alavi Naeini",2023-05-19,https://pureportal.coventry.ac.uk/en/publications/folic-acid-supplementation-and-blood-pressure-a-grade-assessed-sy
