,Text,Class
0,"The Impact of Physical Activity on Mental Health","Health"
1,"The Role of Technology in Modern Healthcare","Health"
2,"The Importance of Financial Management in Business","Business"
3,"The Benefits of Teamwork in Sports","Sport"
4,"The Link Between Nutrition and Physical Performance","Health"
5,"Advancements in Artificial Intelligence for Business Applications","Business"
6,"The Role of Coaching in Sports Performance","Sport"
7,"The Connection Between Mental Health and Exercise","Health"
8,"The Impact of Digital Transformation on Business Processes","Business"
9,"The Benefits of Strength Training in Sports","Sport"
10,"The Role of Meditation in Promoting Mental Well-being","Health"
11,"The Importance of Marketing Strategies in Business Success","Business"
12,"The Strategies for Injury Prevention in Sports","Sport"
13,"The Connection Between Sleep and Athletic Performance","Health"
14,"The Impact of E-commerce on Traditional Retail Business","Business"
15,"The Benefits of Yoga for Physical and Mental Health","Health"
16,"The Role of Leadership in Sports Team Dynamics","Sport"
17,"The Link Between Nutrition and Weight Management","Health"
18,"The Importance of Business Ethics in Corporate Decision-Making","Business"
19,"The Strategies for Mental Preparation in Sports","Sport"
20,"The Impact of Stress on Physical and Mental Health","Health"
21,"The Role of Innovation in Business Growth","Business"
22,"The Benefits of Cardiovascular Exercise for Health and Fitness","Sport"
23,"The Connection Between Mental Health and Chronic Illness","Health"
24,"The Impact of Globalization on International Business","Business"
25,"The Strategies for Nutrition and Hydration in Sports Performance","Sport"
26,"The Role of Mindfulness in Stress Management","Health"
27,"The Importance of Effective Communication in Business","Business"
28,"The Benefits of Cross-Training in Sports","Sport"
29,"The Link Between Mental Health and Aging","Health"
30,"The Impact of Technology on Business Productivity","Business"
31,"The Strategies for Mental Toughness in Sports","Sport"
32,"The Connection Between Nutrition and Mental Health","Health"
33,"The Role of Entrepreneurship in Economic Growth","Business"
34,"The Benefits of Flexibility Training for Physical Performance","Sport"
35,"The Impact of Social Media on Mental Health","Health"
36,"The Importance of Strategic Planning in Business","Business"
37,"The Strategies for Injury Rehabilitation in Sports","Sport"
38,"The Link Between Mental Health and Exercise Addiction","Health"
39,"The Role of Emotional Intelligence in Business Leadership","Business"
40,"The Benefits of Sports Psychology in Performance Enhancement","Sport"
41,"The Connection Between Nutrition and Immune Health","Health"
42,"The Impact of Organizational Culture on Business Success","Business"
43,"The Strategies for Recovery and Rest in Sports","Sport"
44,"The Role of Sleep in Cognitive Functioning","Health"
45,"The Importance of Financial Analysis in Business Decision-Making","Business"
46,"The Benefits of Endurance Training for Athletic Performance","Sport"
47,"The Link Between Mental Health and Substance Abuse","Health"
48,"The Impact of Customer Relationship Management on Business Growth","Business"
49,"The Strategies for Mental Skills Training in Sports","Sport"
50,"The Connection Between Nutrition and Heart Health","Health"
51,"The Role of Innovation in Business Sustainability","Business"
52,"The Benefits of Sports Nutrition for Energy and Recovery","Sport"
53,"The Link Between Mental Health and Social Support","Health"
54,"The Impact of Corporate Social Responsibility on Business Reputation","Business"
55,"The Strategies for Goal Setting and Achievement in Sports","Sport"
56,"The Role of Exercise in Managing Anxiety and Depression","Health"
57,"The Importance of Human Resource Management in Business","Business"
58,"The Benefits of Mental Training for Sports Performance","Sport"
59,"The Connection Between Nutrition and Digestive Health","Health"
